state,date,adult_icu_bed_utilization,prob_breach_7d
AS,2022-11-25,0.428571428571429,0.29458025
VI,2022-11-25,0.5,0.14459594
VI,2022-11-23,0.55,0.13438246
AS,2022-11-22,0.285714285714286,0.26394552
VI,2022-11-22,0.5,0.057078145
WY,2022-11-22,0.377049180327869,0.025768543
AS,2022-11-20,0.285714285714286,0.35687324
VI,2022-11-20,0.55,0.1330577
AS,2022-11-19,0.428571428571429,0.1839378
VI,2022-11-19,0.55,0.09405127
AS,2022-11-17,0.142857142857143,0.62878275
VI,2022-11-17,0.5,0.046028532
AS,2022-11-16,0.285714285714286,0.2907913
VI,2022-11-16,0.5,0.10414624
AR,2022-11-15,0.750281214848144,0.017962113
AS,2022-11-14,0.0,0.11321079
VI,2022-11-14,0.5,0.05123243
VI,2022-11-13,0.5,0.11208859
AS,2022-11-11,0.285714285714286,0.11286643
VI,2022-11-11,0.5,0.24248171
WY,2022-11-11,0.311475409836066,0.018232884
VI,2022-11-10,0.45,0.20514065
WY,2022-11-10,0.327868852459016,0.018509435
AS,2022-11-08,0.428571428571429,0.42397043
VI,2022-11-08,0.45,0.049744464
WY,2022-11-08,0.322314049586777,0.029959202
AS,2022-11-05,0.571428571428571,0.2612531
VI,2022-11-05,0.25,0.13218403
VI,2022-11-04,0.3,0.23181356
AS,2022-11-02,0.571428571428571,0.13298967
VI,2022-11-02,0.25,0.29568273
WY,2022-11-01,0.373983739837398,0.017834876
AS,2022-10-29,0.571428571428571,0.53349644
VI,2022-10-29,0.45,0.11074901
AK,2022-10-28,0.781456953642384,0.010193109
VI,2022-10-27,0.4,0.20099603
AS,2022-10-26,0.666666666666667,0.5248998
VI,2022-10-26,0.45,0.23872823
WV,2022-10-26,0.797297297297297,0.0109499525
VT,2022-10-25,0.741935483870968,0.5154992
AS,2022-10-24,0.714285714285714,0.27308047
VI,2022-10-24,0.6,0.12334894
VI,2022-10-23,0.65,0.11201031
VI,2022-10-22,0.55,0.3418537
AS,2022-10-21,0.571428571428571,0.53103185
VI,2022-10-21,0.5,0.15267916
WY,2022-10-21,0.373983739837398,0.023354985
VI,2022-10-19,0.5,0.083665155
AS,2022-10-18,0.714285714285714,0.29498568
